filename,treeno,sentence,num_matches
bn/cnn/02/cnn_0297,6,"There are hundreds of unmarked graves , apparently dating back to the 1991 Gulf War , or before , but it *EXP*-1 's not clear whether the people buried * there are victims of regime atrocities , or whether it 's simply a military graveyard .",1
bn/cnn/03/cnn_0311,34,"Well , this is not an episode of Joe Dictator , or an Iraqi version of The Lifestyles of the Rich and Famous .",1
bn/cnn/03/cnn_0330,42,They wo n't get *PRO*-1 to see their loved ones until Tuesday or Wednesday .,1
bn/cnn/03/cnn_0337,14,I was definitely blessed that I 'm not paralyzed or dead .,1
bn/cnn/03/cnn_0337,18,"There were small pockets of resistance in the area , two , three man groups who *T*-1 had AKs and possibly RPGs and what not and our job was *PRO* to just observe forward and make *PRO* *EXP*-2 sure 0 no one was waiting *PRO*-3 to ambush the AVs or the tanks and I was on a metal roof and I stepped --",0
bn/cnn/03/cnn_0349,17,"It was n't a polite phone call quietly made * , either from your enforcement division or from your office , it was rather public .",1
bn/cnn/04/cnn_0415,5,It *ICH*-1 is n't enough for these tween stars to be on the TV or movie .,1
bn/cnn/04/cnn_0415,33,"Unlike stars of the past , they really are not content *PRO*-1 to be singers or dancers , they are like Omnimedia , mini Martha Stewart .",1
bn/cnn/04/cnn_0424,29,"The bigger issue is 0 once we get there , we ca n't carry oxygen or water or food *PRO*-1 to stay there three years , so we 're going *-2 to have *-3 to do all of that on the surface of the planet .",2
bn/mnb/00/mnb_0008,34,"The odd thing about him is , 0 in the dressing room , *PRO* could n't be looser or funnier .",1
bn/mnb/00/mnb_0019,13,"*PRO* Keep in mind , 0 those were not registered *-1 by the computers because they either had a hanging chad or dimpled chad .",1
bn/nbc/00/nbc_0004,2,It 's not just poor *RNR*-1 versus rich *RNR*-1 areas or rural versus urban .,1
bn/nbc/00/nbc_0004,17,"Not the size of the community , the wealth of the patients , or quality of the hospital .",1
bn/nbc/00/nbc_0012,40,Because they say 0 Gore does not require the kind of annual student testing needed * *PRO* to tell whether a school is failing or not .,1
bn/nbc/00/nbc_0016,2,There is n't a national poll in the race between Vice President Al Gore and Governor George W. Bush that *T*-1 shows a clear advantage for one or the other with two weekends 0 *PRO* to go *T*-2 .,1
bn/pri/00/pri_0006,31,He has n't been seen *-1 or heard from *-1 in the past 24 hours .,1
bn/pri/00/pri_0019,6,I do n't know whether it was terrorism or not .,1
bn/pri/00/pri_0025,12,"America will not stop *-1 standing guard for peace , or freedom , or stability in the Middle East and around the world .",2
bn/pri/00/pri_0038,39,"They simply did n't know , but as I say *?* , Admiral Koryerov has said 0 he does believe 0 it was a collision with a submarine , and they 're not sure *ICH*-1 now whether it was a foreign submarine or a Russian one ?",1
bn/pri/00/pri_0071,21,"I think 0 it really reverts back in to these traditional values , the way 0 Japanese are educated *-1 *T*-2 and basically individualism is not encouraged *-3 in neither school setting or corporate setting , and the people who *T*-4 are really making a difference in the United States are individuals who *T*-5 are entrepreneurs .",1
bn/pri/00/pri_0074,14,We will not use the security forces of our country *PRO*-1 to silence critics or neutralize opponents .,1
bn/pri/00/pri_0079,11,"It is the world at its most carnival - like , and yet it is virtually impossible , is n't it *?* , for a Chinese artist to do something or to make a statement without its having some kind of either political effect or *PRO* be political in origin .",0
bn/pri/00/pri_0083,20,"So it *EXP*-1 's quite surprising for us Europeans to see that the Supreme Court would be involved , not really it seems to us in *PRO* interpreting the law of the land or the constitution of the United States , but more in *PRO* deciding the merits of a terribly political case .",0
bn/pri/00/pri_0084,19,Senior Likud activists like Yosee Ahmed say that Barak 's decision *PRO* to call an election just for Prime Minister wo n't save him from his opponent in the country or in the Knesset .,1
bn/pri/00/pri_0093,25,"I am convinced that in two or three years time we will win elections and be back in government again , not because I want *PRO*-1 to be in power or a minister but because it 's in the interest of the citizens of our country .",1
bn/voa/00/voa_0040,5,"I think 0 if Kostunica does not move in a direction *ICH*-1 decisively within the next month of *PRO*-2 abandoning the dinar completely or going to a deutsche mark based currency board where we have a foreign governor on the board *T*-3 , the chances for economic unification in the area and economic recovery in Serbia are slim at best .",1
bn/voa/00/voa_0091,9,"A Muslim Brotherhood candidate from the Nile Delta city of Bandadel Mansoor , who *T*-1 lost his race , Saber Zaher , said 0 the message of Islamists is not *PRO* to win or lose but *PRO* to be allowed *-2 to participate in the process .",1
bn/voa/01/voa_0194,4,At the same time Palestinians are saying 0 they will not sign a peace deal with Israel that *T*-1 fails *-2 to give them sovereignty over all of Arab East Jerusalem or allow the return of refugees .,1
bn/voa/02/voa_0244,4,His lawyer David Kendall insists that Mr. Clinton is not guilty of perjury or obstruction of justice .,1
nw/wsj/00/wsj_0036,58,"While *PRO*-1 acknowledging 0 one month 's figures do n't prove a trend , Mr. Bretz said , `` It does lead you *PRO*-2 to suspect 0 imports are going down , or at least not increasing that much . ''",0
nw/wsj/00/wsj_0039,28,"The movie ends with sound , the sound of street people talking , and there is n't anything whimsical or enviable in those rough , beaten voices .",1
nw/wsj/00/wsj_0045,27,"Because many of these subskills -- the symmetry of geometrical figures , metric measurement of volume , or pie and bar graphs , for example -- are only a small part of the total fifth - grade curriculum , Mr. Kaminski says 0 *?* , the preparation kits would n't replicate too many , if their real intent was general instruction or even general familiarization with test procedures .",1
nw/wsj/00/wsj_0047,5,He said 0 the ban wo n't stop privately funded tissue - transplant research or federally funded fetal - tissue research that *T*-111 does n't involve transplants .,1
nw/wsj/00/wsj_0049,65,Mr. Murray also said 0 Judge Hampton 's comments did n't discredit the judiciary or the administration of justice .,1
nw/wsj/00/wsj_0092,6,"Further , he said 0 *?* , the company does n't have the capital needed * *PRO* to build the business over the next year or two .",1
nw/wsj/00/wsj_0097,29,"First , the trading is done *-1 over the counter and is n't reported *-1 on either the U.S. or London stock trading tapes .",1
nw/wsj/00/wsj_0097,31,"In addition to the extra privacy of these trades , the transactions can often be less expensive *PRO* to execute , because the parties do n't have *-1 to pay a floor brokerage fee or a specialist 's fee .",1
nw/wsj/01/wsj_0102,47,"A spokesman for the state , however , calls the idea *PRO*-1 `` not effective or cost efficient .",1
nw/wsj/01/wsj_0103,10,A USX spokesman said 0 the company had n't yet received any documents *ICH*-1 from OSHA regarding the penalty or fine .,1
nw/wsj/01/wsj_0105,19,"*PRO* To quote the highly regarded director of a privately funded drop - in center for the homeless in New York : `` If you 're homeless , you do n't sleep for fear of *PRO* being robbed or murdered *-1 .",1
nw/wsj/01/wsj_0105,31,Why did n't you mention the YMCA or the YWCA or Catholic Charities USA or a hundred other nonprofit organizations that *T*-17 participated in the march *T*-1 ?,3
nw/wsj/01/wsj_0108,4,You can do all this even if you 're not a reporter or a researcher or a scholar or a member of Congress .,3
nw/wsj/01/wsj_0108,26,"`` You may come by the agency *PRO*-3 to read but not copy either manually or by *PRO* photocopying , '' a Voice official explained *T*-1 when I asked *T*-2 .",1
nw/wsj/01/wsj_0108,48,You have a right *PRO*-2 to read Voice of America scripts if you do n't mind *PRO*-1 traveling to Washington every week or so and *PRO*-1 visiting the Voice office during business hours .,1
nw/wsj/01/wsj_0108,56,"If those words were n't there , the nice people at the Voice would be able *PRO*-1 to send you the information or , at the very least , let you photocopy it .",0
nw/wsj/01/wsj_0111,8,"Mr. Newhouse , meanwhile , insisted that he is n't unhappy with Mr. Bernstein or the performance of Random House , the largest trade publishing house in the U.S. .",1
nw/wsj/01/wsj_0112,9,It is not supported by the text or history of the Constitution .,1
nw/wsj/01/wsj_0119,20,Corporate lawyers said 0 the new fees would n't inhibit many mergers or other transactions .,1
nw/wsj/01/wsj_0121,18,"Similarly , Rick Wamre , a 31 - year - old asset manager for a Dallas real - estate firm , would like *PRO*-1 to see program trading disappear because `` I ca n't see that it does anything for the market or the country . ''",1
nw/wsj/01/wsj_0126,28,"`` It is the very building of it *ICH*-4 that *T*-2 is important , not how much of it *T*-3 is used *-1 or its economics . ''",1
nw/wsj/01/wsj_0140,5,`` The company does not feel that it or any of the individuals violated any criminal statute and the company expects full vindication in court . '',1
nw/wsj/01/wsj_0146,15,"While the new proposal might appeal to the dirtiest utilities , it might not win the support of utilities , many in the West , that *T*-1 already have added expensive cleanup equipment or burn cleaner - burning fuels .",1
nw/wsj/01/wsj_0148,24,"Stock - index options -- Options give holders the right *RNR*-1 , but not the obligation *RNR*-1 , *PRO* to buy ( a call ) or sell ( a put ) a specified amount of an underlying investment by a certin date at a preset price , known * as the strike price .",1
nw/wsj/01/wsj_0163,2,"The company said 0 the restructuring is n't expected *-1 to have any impact , adverse or otherwise , on its financial results .",1
nw/wsj/01/wsj_0183,4,ITC officials said 0 final Commerce Department and ITC rulings wo n't come until next March or later .,1
nw/wsj/01/wsj_0186,26,"Among the lot of them , not one is wrestling with good and evil , or especially intelligent or even temporarily insane .",0
nw/wsj/02/wsj_0207,7,But you ca n't dismiss Mr. Stoltzman 's music or his motives as merely commercial and lightweight .,1
nw/wsj/02/wsj_0210,16,`` I think 0 it would be irresponsible and I am not about *-1 to be blackmailed *-27 by Japanese banks or any other international interests . '',1
nw/wsj/02/wsj_0254,19,"Meanwhile , the National Association of Manufacturers said yesterday 0 a recent poll of 53 executives on its board found that 61 % do n't expect a recession to occur until 1991 or later .",1
nw/wsj/02/wsj_0257,19,"But after much tracking , it *EXP*-1 became evident to Mr. Stoll , through various clues , that the hacker was not on the Berkeley campus or even in California .",1
nw/wsj/02/wsj_0259,16,"He said 0 it *ICH*-3 has n't yet been determined *-109 how the RTC will raise the cash *T*-1 , but the administration does n't want it to be included *-2 on the federal budget , because it would `` distort '' the budget process by *PRO*-4 requiring either exemptions from Gramm - Rudman or big increases in the budget deficit .",1
nw/wsj/02/wsj_0259,18,"`` If working capital financing is not provided *-3 , '' he said *?* , `` the RTC may have *-2 to slow -LCB- S&L sales -RCB- or dump acquired assets through fire sales .",0
nw/wsj/02/wsj_0267,53,`` Do n't you think 0 I ought *PRO*-2 to get a commission ... or part of your fee in this case ? '' Mr. Green said 0 the judge asked him *T*-1 .,1
nw/wsj/02/wsj_0288,2,The White House is purposely not calling the meeting *PRO*-1 a summit so that there wo n't be any expectation of detailed negotiations or agreements .,2
nw/wsj/02/wsj_0288,5,"The unusual seaborne meeting wo n't disrupt plans for a formal summit meeting next spring or summer , at which an arms - control treaty is likely *-2 to be completed *-224 *T*-1 .",1
nw/wsj/02/wsj_0288,27,"`` *PRO* Do n't take this as some big opening for major movement on economic cooperation , or arms control , or the environment , '' he said *T*-1 .",2
nw/wsj/02/wsj_0290,14,"Lawful demonstrations , such as peaceful picketing and other assemblages that *T*-265 do not disturb the peace or cause a public nuisance or interfere with the rights of others , are rights guaranteed * by any truly free system of government .",2
nw/wsj/02/wsj_0296,44,I do n't feel down or done in because I show British serials on my television network or read their books .,2
nw/wsj/03/wsj_0305,23,He says 0 his team could n't tell whether accounts receivable had been paid *-1 or not .,1
nw/wsj/03/wsj_0314,41,*PRO* Limiting care wo n't be easy or popular .,1
nw/wsj/03/wsj_0326,2,"The campaign , a patriotic celebration of the 200th anniversary of the Bill of Rights , does n't mention cigarettes or smoking ; cigarette ads have been prohibited *-1 on television since 1971 .",1
nw/wsj/03/wsj_0326,28,"`` They are n't showing James Madison taking a puff or lighting up , '' says *T*-1 Laurence Tribe , a professor of constitutional law at Harvard University .",1
nw/wsj/03/wsj_0335,16,"`` Those who *T*-93 testified -LCB- yesterday -RCB- have consistently maintained that anyone who *T*-94 did n't agree with them is part of a coverup , a whitewash , or the subject of excessive influence , '' Mr. Bickwit said *T*-1 .",0
nw/wsj/03/wsj_0335,17,`` We simply do n't agree with that or the findings of their investigation . '',1
nw/wsj/03/wsj_0347,5,"The seaborne meetings wo n't disrupt plans for a formal summit next spring or summer , at which an arms - control treaty is likely *-2 to be completed *-3 *T*-1 .",1
nw/wsj/03/wsj_0349,42,"Despite what some investors are suggesting *T*-2 , the Big Board is n't even considering a total ban on program trading or stock futures , exchange officials said 0 *T*-1 .",1
nw/wsj/03/wsj_0359,28,"Gold stocks are n't cheap on this basis , either , with many selling for 20 times earnings or more .",1
nw/wsj/03/wsj_0360,8,This is a fact and not the product of some environmental doomsayer or a group 's ploy *PRO* to create a market .,1
nw/wsj/03/wsj_0360,17,"I understand *RNR*-1 , but have n't yet verified *RNR*-1 , that there are studies by Norwegians , Russians and the Max Planck Institute that *T*-173 show either unchanging or declining UV - B at the surface .",0
nw/wsj/03/wsj_0367,39,"Accessories not only sell faster than whole bikes , they also offer profit margins nearly double the 25 % to 30 % or so *U* on sales of complete cycles .",0
nw/wsj/04/wsj_0413,27,"But they do n't careen around in an old Cadillac , wear funny suits or blast away at slimy spirits .",1
nw/wsj/04/wsj_0417,3,"The group led * by Birmingham , Mich. , publicist William D. McMaster did n't name an investment banker backing the deal or say how much its members will contribute *T*-1 to the offer .",1
nw/wsj/04/wsj_0434,4,"Even brief conversations can show caring and trust , and need *PRO*-1 not restrict the efficiency of the communication or restrain the doctor 's earnings .",1
nw/wsj/04/wsj_0445,65,"NEC wo n't release its code , and every one of the dozen or so makers has its own proprietary operating system -- all incompatible with each other .",0
nw/wsj/04/wsj_0450,21,"Chief Inspector Peter Seacomb of the Criminal Investigation Department at the airport said , `` It *EXP*-1 is not uncommon for property to be temporarily mislaid or misrouted *-2 . ''",1
nw/wsj/04/wsj_0465,47,But he did n't know which gene or genes *T*-1 had disappeared .,1
nw/wsj/05/wsj_0503,4,Karstadt did n't give any group sales or profit figures for the first nine months .,1
nw/wsj/05/wsj_0515,12,"`` This seed 's not grown *-2 anywhere else in India , or anywhere else in the world , '' says *T*-1 T.V. Krishnamurthy , a vice president of Procter & Gamble India Ltd. , a major psyllium buyer and promoter .",1
nw/wsj/05/wsj_0515,64,"`` It 's not a crop that *T*-1 ca n't be doubled or tripled *-2 , '' says *T*-3 Mr. Krishnamurthy .",2
nw/wsj/05/wsj_0526,25,"*PRO* Add the fact that any one of them , including Pa , could be her attacker , and you have a setting that *T*-1 does n't resemble small - town America , or even Hollywood 's nightmare of small - town America , so much as a paranoid feminist dystopia like Margaret Atwood 's `` The Handmaid 's Tale , '' 0 *T*-2 itself soon to be ( you guessed it ) a Hollywood movie .",1
nw/wsj/05/wsj_0531,2,The maker of chemical and industrial materials did n't say how much it would pay *T*-3 or when it would make the transactions *T*-2 .,1
nw/wsj/05/wsj_0554,12,"`` Clients want *PRO*-2 to see more of our senior people involved * in the business -- not once a month , but two or three times a week , '' he said *T*-1 .",1
nw/wsj/05/wsj_0559,18,"Still , this does n't mean that either the government or the ANC is changing stripes -- or that either has moved significantly closer to the other .",2
nw/wsj/05/wsj_0560,14,"`` We have n't decided on a strategy yet , but we could become an independent producer depending on whether we 're the developer or just the supplier , '' says *T*-1 Theodore Stern , executive vice president of the company 's energy and utility systems group .",0
nw/wsj/05/wsj_0561,12,"They showed up , but did n't *RNR*-1 -- or could n't *RNR*-1 -- challenge .",0
nw/wsj/05/wsj_0561,20,"But if the A 's had n't won in four , they would have prevailed in five , or six , or seven .",0
nw/wsj/05/wsj_0569,13,"While such changes might sound minor , they are n't *?* : Merrill Lynch manages or oversees some $ 300 billion *U* in retail accounts that *T*-2 include everything from mutual funds to individual annuities .",0
nw/wsj/05/wsj_0569,41,One of Mr. Straszheim 's recurring themes is that the state of the economy is n't a simple black or white .,1
nw/wsj/05/wsj_0576,4,Strange that we do n't hear similar criticisms of the East Coast activists who *T*-1 seek *PRO*-2 to clean up Boston Harbor or rid their beaches of medical waste .,1
nw/wsj/05/wsj_0578,45,"Mr. Semel , in his affidavit , does n't mention any hugging or congratulating .",1
nw/wsj/05/wsj_0591,27,"The Big Board ca n't ban stock - index futures , of course , but it could ban use of its high - speed electronic trading system for program trading or at least encourage securities firms *PRO*-1 to back off .",0
nw/wsj/05/wsj_0595,5,"Not unexpectedly , wives , whether *PRO*-1 working or non-working , did by far the most -- about 80 % of the shopping , laundry and cooking , and about two - thirds of housecleaning , *PRO* washing dishes , child care and family paper work .",0
nw/wsj/05/wsj_0595,28,"But , says 0 *T*-1 chief investigator Tom Smith , this `` does not translate into support for conservatism in general or into conservative positions on feminist and civil rights issues . ''",1
nw/wsj/05/wsj_0598,17,"Mr. Brady hesitantly replied that he was n't sure whether Mr. Greenspan `` made a statement himself , or whether that was a newspaper report . ''",1
nw/wsj/06/wsj_0633,52,"That is n't much compared with what Bill Cosby makes *T*-4 , or even Connie Chung for that matter ( who *T*-2 is paid *-1 $ 1.6 million *U* a year and who *T*-3 recently did a guest shot of her own on the sitcom `` Murphy Brown '' ) .",1
nw/wsj/06/wsj_0647,2,"NBI said that it has the funds 0 *PRO* to pay the dividend *T*-1 , but that it does n't have the surplus or profit required * under Delaware law for payment of the dividend .",1
nw/wsj/06/wsj_0653,8,"Rally 's also said 0 it formed a committee of three directors , who *T*-1 are n't associated *-3 with either the Patterson or Sugarman groups , 0 *T*-2 to analyze the situation .",1
nw/wsj/06/wsj_0664,80,"Investors usually do n't want *PRO*-1 to take physical delivery of a contract , *PRO*-1 preferring instead *PRO*-2 to profit from its price swings and then end any obligation *PRO* to take delivery or make delivery as it nears expiration .",1
nw/wsj/06/wsj_0687,22,"Coffee - shop chatter does not lend itself to *PRO* solving the problems of racism , teen pregnancy or lack of parental support or guidance .",2
nw/wsj/06/wsj_0689,13,"`` People should remember 0 their money is n't all or nothing -- they do n't need *-1 to be shopping for the one interest - rate - type investment and putting all their money in it , '' says *T*-2 Bethesda , Md. , adviser Karen Schaeffer .",1
nw/wsj/06/wsj_0692,64,Strategy is not a game between the Pentagon and Congress ; it is the art of the possible in a world where constraints force us *PRO*-2 to choose between unpleasant or imperfect alternatives *T*-1 .,0
nw/wsj/07/wsj_0719,42,"Already the Germans appear *-1 to be acting ; at a special meeting on the day of the decline , directors of the Frankfurt Stock Exchange voted *PRO*-2 to extend their trading hours , although they have n't decided when or by how much .",1
nw/wsj/07/wsj_0719,50,"But they either did n't buy the right machines or they wasted it , '' says *T*-1 Fleming 's Ms. Noble .",0
nw/wsj/07/wsj_0725,17,That is n't the $ 40 *U* that *T*-1 delighted producers a decade ago or the $ 10 *U* that *T*-2 pleased users a year ago .,1
nw/wsj/07/wsj_0742,39,"`` If futures are n't permitted *-1 here , we 'll take it to Australia or Tokyo . ''",0
nw/wsj/07/wsj_0748,24,"`` There wo n't be any formal resolutions or communiques , I do n't think 0 *T*-1 .",1
nw/wsj/07/wsj_0749,28,"They always say 0 *PRO* to get a degree first , but they do n't allow us time or *PRO* to skip practice *PRO*-1 to study for a test .",1
nw/wsj/07/wsj_0749,50,"-- `` Somehow , and I do n't know how , the game needs *-2 to be played *-1 for fun again , and not for the big bowl revenues or lucrative TV contracts '' .",1
nw/wsj/07/wsj_0779,35,It should seek only *PRO*-1 to maintain the functioning of markets -- not *PRO*-1 to prop up the Dow Jones or New York Stock Exchange averages at a particular level .,1
nw/wsj/07/wsj_0780,8,"In other comments , he said 0 takeovers may not always be the most efficient way of *PRO* securing a change of corporate direction or strategy .",1
nw/wsj/07/wsj_0782,6,Wall Street analysts have criticized Bethlehem for *PRO* not following its major competitors in *PRO* linking with a foreign company *PRO*-1 to share costs and provide technology 0 *T*-2 to modernize old facilities or build new ones .,1
nw/wsj/08/wsj_0819,3,"`` Measure for Measure '' is one of Shakespeare 's `` problem '' plays , so named * because it does not fit neatly into a category such as tragedy , comedy or history .",1
nw/wsj/09/wsj_0922,32,`` They want reassurance 0 we wo n't try *PRO*-2 to undermine or destroy the Warsaw Pact ... .,1
nw/wsj/09/wsj_0944,48,"But Judge Arthur Alarcon , joined * by Judge Cynthia Holcomb Hall , took the astonishing position that it *EXP*-1 is perfectly OK *PRO* to fabricate quotations so long as a judge finds that the fabrications do not alter substantive content or are rational interpretations of ambiguous remarks .",0
nw/wsj/09/wsj_0957,6,It *EXP*-2 's equally ridiculous *PRO* not to provide a capital investment or retirement - savings tax incentive .,1
nw/wsj/09/wsj_0971,21,"Not only did his company find $ 20,000 *U* worth of work , but when the approach was suggested *-1 *T*-3 , Mr. String says 0 *?* , Brooks officials `` did n't laugh at me or anything .",1
nw/wsj/09/wsj_0972,14,"All of their friends have children and they ca n't *?* , so now they want a child more than anything -- perhaps even more than Michael wanted his fancy convertible or his deluxe stereo equipment .",0
nw/wsj/09/wsj_0975,33,"If start - ups ca n't have early access to research being conducted * at institutions , `` we have *-2 to replicate it ourselves or do without the research , '' says 0 *T*-1 Ruth Emyanitoff , manager of business development at Applied bioTechnology Inc. , a Cambridge , Mass. , concern .",0
nw/wsj/09/wsj_0975,35,"For its part , NIH insists that its guidelines `` should not stifle research creativity or technology transfer from the research laboratory to commercial use . ''",1
nw/wsj/09/wsj_0975,49,"Says *ICH*-1 Mr. Daly , the venture capitalist : `` It *EXP*-2 does n't matter whether they call it *PRO*-3 guidelines or policy .",1
nw/wsj/09/wsj_0978,11,"The broker winning the business does n't charge commissions , but instead profits by *PRO*-1 buying or selling for less than the overall package price .",0
nw/wsj/09/wsj_0983,32,"She declined *PRO*-1 to elaborate and would n't disclose the fund 's recent purchases , sales or cash position .",1
nw/wsj/09/wsj_0984,27,Ms. Bartlett told her audience that she absolutely did not believe in compromise or in *PRO* giving in to the client `` because I do n't think 0 you can do watered - down versions of things . '',1
nw/wsj/09/wsj_0989,4,"`` We just do n't have the staff 0 *T*-3 to -LCB- deliver -RCB- it , nor do we have the space or the time , '' says *T*-2 a spokesman for the Schaumburg , Ill. , electronics company , which *T*-1 has 5,000 employees in the Austin area .",0
nw/wsj/09/wsj_0989,9,"General Motors earlier this year said 0 it would n't deliver bulk mail or free magazines in its Flint , Mich. , office , while Air Products & Chemicals , Allentown , Pa. , says 0 it screens junk mail and often throws out most of a given mass mailing .",1
nw/wsj/09/wsj_0989,23,"Magazines are n't delivered *-5 at all , even if an individual 's name is listed *-1 ; employees who *T*-2 want their magazines have *-3 to pick them up from the mail room or the company library -- and are told *-3 *PRO*-4 to change the subscriptions to their home addresses .",0
nw/wsj/09/wsj_0990,13,"`` A number of us are not going *-2 to touch capital gains , IRAs or anything else unless it contributes to deficit - reduction , '' said *T*-3 Sen. Charles Robb ( D. , Va. ) , who *T*-1 is one of the 10 to 20 Democrats who the Bush administration believes 0 *T*-4 might favor *PRO*-5 giving preferential treatment to capital gains .",1
nw/wsj/09/wsj_0992,12,"The funds received * from pharmaceutical firms are used *-1 *PRO* to offset physician symposiums , and these symposiums do not stress any particular medication or manufacturer .",1
nw/wsj/09/wsj_0992,15,But *PRO* let us not confuse profits of big business masquerading as concerns for people 's health care or for the cost .,1
nw/wsj/10/wsj_1045,4,"A Coors spokesman said 0 the company does n't believe 0 the move will further increase William Coors 's influence or reduce the influence of Jeffrey Coors , Peter Coors or Joseph Coors Jr. , who *T*-1 run the company 's three operating units .",2
nw/wsj/10/wsj_1065,33,"When *PRO*-1 asked *-3 for a copy of the transcript *T*-2 , Mr. Lang said 0 Judge Thomas P. Griesa had instructed him *PRO*-4 not to release it or the memorandum .",1
nw/wsj/10/wsj_1078,1,"Italian car manufacturer Fiat said 0 it is n't interested in partnership *RNR*-1 or industrial cooperation *RNR*-1 with Swedish auto and aerospace group Saab - Scania AB , which *T*-2 faces heavy losses in its car division .",1
nw/wsj/10/wsj_1084,4,"The institute did n't estimate annual price growth in September , but a 0.2 % rise by the consumer price index would put growth at either 178.8 or 178.9 , up 3.3 % or 3.4 % from the year - earlier level of 173.1 .",0
nw/wsj/11/wsj_1101,24,"In addition , the officials say 0 Israel has n't presented convincing evidence 0 these acts were ordered *-1 by Fatah or by any group 0 Mr. Arafat controls *T*-2 .",1
nw/wsj/11/wsj_1122,7,A spokesman for North Carolina Gov. Martin says 0 Hugo has n't prompted proposals for state or local increases .,1
nw/wsj/11/wsj_1122,16,"If the IRS admits its error and the charges have been paid *-1 , it will reimburse a taxpayer who *T*-2 has n't refused *PRO*-3 to give timely answers to IRS inquiries or *T*-2 has n't contributed to *PRO* continuing or compounding the error .",1
nw/wsj/11/wsj_1131,63,"Government lending was not intended *-1 to be a way 0 *PRO* to obfuscate spending figures , hide fraudulent activity , or provide large subsidies *T*-2 .",1
nw/wsj/11/wsj_1137,26,"Often they have found that the relevant issue is not race , but rather housing , crime prevention or education .",1
nw/wsj/11/wsj_1137,31,"The white group argued that whites were not fully and fairly represented *-2 , because in city - wide elections only black candidates or white candidates who *T*-1 catered to `` black interests '' could win .",1
nw/wsj/11/wsj_1137,34,"`` In the past , people who *T*-1 had *-2 to run for office had *-3 to moderate their views because they could n't afford *PRO*-4 to offend blacks or whites , '' he said *T*-5 .",1
nw/wsj/11/wsj_1143,28,And we certainly do not believe that Mr. Gorbachev or any of his emissaries yet deserve *PRO*-1 to have the West take their word for it .,1
nw/wsj/11/wsj_1169,3,The company did n't disclose a purchase price or capitalization figures .,1
nw/wsj/11/wsj_1174,11,But experts caution that this is n't a game for anyone with a weak stomach or wallet .,1
nw/wsj/11/wsj_1184,23,"The company 's conduct `` does not even raise a question of wrongful corporate intent , ratification or cover - up , '' GE 's brief asserts 0 *T*-1 .",1
