filename,treeno,tree,sentence
nw/wsj/03/wsj_0310,4,"(TOP (S (S-TPC-2 (S (NP-SBJ-1 (DT A)(JJ final)(NN agreement))(VP (VBZ has)(RB not)(VP (VBN been)(VP (VBN signed)(NP (-NONE- *-1))))))(, ,)(CC and)(S (NP-SBJ (DT the)(NNS moves))(VP (MD will)(RB not)(VP (VB have)(NP (NP (DT a)(JJ material)(NN effect))(PP-LOC (IN on)(NP (DT the)(NN company))))))))(, ,)(NP-SBJ (NNP Gillette))(VP (VBD said)(SBAR (-NONE- 0)(S (-NONE- *T*-2))))(. .)))","A final agreement has not been signed *-1 , and the moves will not have a material effect on the company , Gillette said 0 *T*-2 ."
nw/wsj/03/wsj_0353,5,"(TOP (S (NP-SBJ (DT The)(NNP GASB))(VP (VBD had)(VP (VBN told)(NP (NNS governments))(SBAR (-NONE- 0)(S (NP-SBJ-1 (PRP they))(VP (VBD did)(RB n't)(VP (VB have)(S (NP-SBJ (-NONE- *-1))(VP (TO to)(VP (VB follow)(NP (NP (NNP FASB)(NNS rules))(PP (IN on)(NP (NN depreciation)))))))))))(, ,)(S-ADV (NP-SBJ (-NONE- *PRO*))(VP (VBG making)(S (NP-SBJ (NP (PRP it))(SBAR (-NONE- *EXP*-2)))(ADJP-PRD (JJ difficult))(SBAR-2 (IN for)(S (NP-SBJ (ADJP (NN bond)(HYPH -)(VBG rating))(NNS agencies))(VP (TO to)(VP (VB compare)(NP (NP (ADJP (ADJP (JJ private))(CC and)(ADJP (NN state)(HYPH -)(VBN owned)))(NNS schools))(, ,)(SBAR (WHNP-158 (WDT which))(S (NP-SBJ (-NONE- *T*-158))(VP (VBP compete)(PP-LOC (IN in)(NP (DT the)(NML (JJ public)(NN bond))(NN market))))))))))))))))(. .)))","The GASB had told governments 0 they did n't have *-1 to follow FASB rules on depreciation , *PRO* making it *EXP*-2 difficult for bond - rating agencies to compare private and state - owned schools , which *T*-158 compete in the public bond market ."
nw/wsj/04/wsj_0470,6,"(TOP (S (NP-SBJ (NP (NNP Wayne)(NNP Smith))(, ,)(NP (NP (NP (DT an)(NN attorney))(PP-LOC (IN at)(NP (NP (NNP Gibson)(, ,)(NNP Dunn)(CC &)(NNP Crutcher))(PP-LOC (IN in)(NP (NNP Los)(NNP Angeles))))))(VP (VBG representing)(NP (NNP Sony))))(, ,))(VP (VBD said)(SBAR (-NONE- 0)(S (NP-SBJ (DT the)(NNP Sony)(NNS executives))(VP (VBD had)(RB n't)(VP (VBN seen)(NP (DT the)(NN contract))(SBAR-PRP (IN because)(`` ``)(S (NP-SBJ (PRP it))(VP (VBD was)(RB n't)(ADJP-PRD (JJ relevant))(SBAR-TMP (IN once)(S (NP-SBJ (NNP Guber)(CC and)(NNP Peters))(VP (VBD told)(NP (PRP them))(SBAR (-NONE- 0)(S (NP-SBJ (NNP Warner))(VP (MD would)(VP (VB let)(S (NP-SBJ (PRP them))(VP (VB terminate)(NP (PRP it))(PP-TMP (IN at)(NP (DT any)(NN time))))))))))))))))))))(. .)('' '')))","Wayne Smith , an attorney at Gibson , Dunn & Crutcher in Los Angeles representing Sony , said 0 the Sony executives had n't seen the contract because `` it was n't relevant once Guber and Peters told them 0 Warner would let them terminate it at any time . ''"
nw/wsj/04/wsj_0470,7,(TOP (S (NP-SBJ (NNP Mr.)(NNP Smith))(VP (VBD said)(SBAR (-NONE- 0)(S (NP-SBJ-1 (NP (NP (NNS statements))(PP (IN about)(NP (DT the)(NN contract))))(VP (VBN made)(NP (-NONE- *))(PP-LOC (IN in)(NP (NNP SEC)(NNS filings)))))(VP (VBD were)(VP (VBN made)(NP (-NONE- *-1))(PP (IN by)(NP-LGS (NP (NNS attorneys))(SBAR (SBAR (WHNP-2 (WP who))(S (NP-SBJ (-NONE- *T*-2))(VP (VBD did)(VP (VB have)(NP (NP (NN access))(PP (IN to)(NP (DT the)(NNS contracts))))))))(CC but)(SBAR (WHNP-3 (WP who))(S (NP-SBJ (-NONE- *T*-3))(VP (VBD were)(RB n't)(NP-PRD (NP (NN part))(PP (IN of)(NP (NP (DT the)(NNS negotiations))(PP (IN between)(NP (NP (NNP Sony))(CC and)(NP (DT the)(NN duo))))))))))))))))))(. .))),Mr. Smith said 0 statements about the contract made * in SEC filings were made *-1 by attorneys who *T*-2 did have access to the contracts but who *T*-3 were n't part of the negotiations between Sony and the duo .
nw/wsj/04/wsj_0417,4,"(TOP (S (ADVP (UH Indeed))(, ,)(NP-SBJ (NP (DT some)(NNS individuals))(VP (VBN identified)(NP (-NONE- *))(PP-CLR (IN with)(NP (DT the)(NN group)))))(VP (VBD said)(SBAR (-NONE- 0)(S (NP-SBJ (PRP they))(VP (VP (VBP have)(RB n't)(VP (VBN committed)(NP (DT any)(NN money))(PP-CLR (IN to)(NP (DT the)(NN bid)))))(CC and)(VP (VBD were)(RB n't)(ADJP-PRD (JJ aware)(PP (IN of)(NP (PRP it))))(SBAR-TMP (IN until)(S (NP-SBJ (PRP they))(VP (VBD heard)(PP-CLR (IN about)(NP (PRP it)))(PP-LOC (IN in)(NP (JJ local)(NN news)(NNS accounts)))(PP-TMP (IN over)(NP (DT the)(NN weekend)))))))))))(. .)))","Indeed , some individuals identified * with the group said 0 they have n't committed any money to the bid and were n't aware of it until they heard about it in local news accounts over the weekend ."
nw/wsj/04/wsj_0417,6,"(TOP (S (NP-SBJ (DT The)(NN company))(VP (VP (VBZ has)(VP (VBD said)(SBAR (-NONE- 0)(S (NP-SBJ (DT the)(NN paper))(VP (VBZ is)(RB n't)(PP-PRD (IN for)(NP (NN sale))))))))(, ,)(CC and)(VP (VBZ has)(VP (VBN rebuffed)(NP (NP (NP (NNP Mr.)(NNP McMaster)(POS 's))(JJR earlier)(NNS requests))(PP (IN for)(NP (NP (NN access))(PP (IN to)(NP (NML (NNP Free)(NNP Press))(JJ financial)(NNS statements)))))))))(. .)))","The company has said 0 the paper is n't for sale , and has rebuffed Mr. McMaster 's earlier requests for access to Free Press financial statements ."
nw/wsj/04/wsj_0415,24,"(TOP (S (S (NP-SBJ-1 (DT That))(VP (MD might)(VP (VB have)(VP (VBN been)(VP (VBN considered)(S (NP-SBJ (-NONE- *-1))(NP-PRD (NN hyperinflation)))(ADVP-TMP (RB not)(RB long)(RB ago)))))))(, ,)(CC but)(S (NP-SBJ-2 (NNP Argentina))(VP (VBD endured)(NP (NP (NN price)(NNS increases))(PP (IN of)(NP (QP (RB almost)(CD 200))(NN %))))(PP-TMP (IN in)(NP (NNP July)))(PP-TMP (IN before)(S-NOM (NP-SBJ (-NONE- *PRO*-2))(VP (VBG bringing)(NP (DT the)(NN rate))(PRT (RP down))(ADVP-MNR (RB sharply))(PP-TMP (IN in)(NP (NNP August)(CC and)(NNP September))))))))(. .)))","That might have been considered *-1 hyperinflation not long ago , but Argentina endured price increases of almost 200 % in July before *PRO*-2 bringing the rate down sharply in August and September ."
nw/wsj/04/wsj_0415,30,"(TOP (S (NP-SBJ (NP (PRP It))(S (-NONE- *EXP*-1)))(VP (VBZ 's)(RB not)(ADJP-PRD (JJ uncommon))(S-1 (NP-SBJ-3 (-NONE- *PRO*))(VP (VP (TO to)(VP (VB wait)(NP (CD three)(NNS minutes))(PP-CLR (IN for)(NP (DT a)(NN dial)(NN tone)))(PP-TMP (IN after)(S-NOM (NP-SBJ (-NONE- *PRO*-3))(VP (VBG picking)(PRT (RP up))(NP (DT the)(NN telephone)))))))(, ,)(CC and)(ADVP-TMP (RB then))(VP (TO to)(VP (VB be)(VP (VBN interrupted)(NP (-NONE- *-3))(PP (IN by)(NP-LGS (DT a)(JJ busy)(NN signal)))(PP-TMP (IN before)(S-NOM (NP-SBJ (-NONE- *PRO*-3))(VP (VBG finishing)(VP (VBG dialing)(NP (DT the)(NN number))))))))))))(. .)))","It *EXP*-1 's not uncommon *PRO* to wait three minutes for a dial tone after *PRO*-3 picking up the telephone , and then to be interrupted *-3 by a busy signal before *PRO*-3 finishing dialing the number ."
nw/wsj/04/wsj_0449,23,"(TOP (S (S (NP-SBJ (NN Index)(NN arbitrage))(PRN (, ,)(S (NP-SBJ (NNP Mr.)(NNP Carpenter))(VP (VBD said)(SBAR (-NONE- 0)(S (-NONE- *?*)))(NP-TMP (JJ last)(NN week))))(, ,))(VP (VBZ does)(RB n't)(VP (VB have)(NP (NP (DT a)(`` ``)(JJ negative)(NN impact))(PP (IN on)(NP (NP (DT the)(NN market))(PP (IN as)(NP (DT a)(NN whole)))))('' '')))))(CC and)(S (NP-SBJ (NP (NNP Kidder)(POS 's))(NNS customers))(VP (VBD were)(ADJP-PRD (`` ``)(JJ sophisticated)('' '')(RB enough)(S (NP-SBJ (-NONE- *PRO*))(VP (TO to)(VP (VB know)(NP (DT that))))))))(. .)))","Index arbitrage , Mr. Carpenter said 0 *?* last week , does n't have a `` negative impact on the market as a whole '' and Kidder 's customers were `` sophisticated '' enough *PRO* to know that ."
nw/wsj/04/wsj_0409,18,"(TOP (S (S (NP-SBJ (NP (DT The)(NN survey)(POS 's))(NNS findings))(ADVP (RB certainly))(VP (VBP are)(RB n't)(ADJP-PRD (JJ encouraging))(PP (IN for)(NP (NP (NNS marketers))(PP (IN of)(NP (NP (NML (NN health)(HYPH -)(NN club))(NNS memberships))(, ,)(NP (NN tennis)(NNS rackets))(CC and)(NP (NML (NN home)(NN exercise))(NN equipment))))))))(, ,)(CC but)(S (NP-SBJ (NP (NP (NNS people)(POS 's))(JJ good)(NNS intentions))(, ,)(CONJP (IN if)(RB not))(NP (PRP$ their)(NNS actions))(, ,))(VP (VBP are)(VP (VBG keeping)(NP-1 (NP (NNS sales))(PP (IN of)(NP (DT some)(NN fitness)(NNS products))))(S-CLR (NP-SBJ (-NONE- *PRO*-1))(ADJP-PRD (JJ healthy))))))(. .)))","The survey 's findings certainly are n't encouraging for marketers of health - club memberships , tennis rackets and home exercise equipment , but people 's good intentions , if not their actions , are keeping sales of some fitness products *PRO*-1 healthy ."
nw/wsj/04/wsj_0455,14,"(TOP (S (PP-LOC (IN In)(NP (JJ many)(NNS cases)))(, ,)(S (NP-SBJ-1 (DT the)(NN lawsuit))(VP (VBD was)(VP (VBN filed)(NP (-NONE- *-1))(SBAR-TMP (ADVP (RB long))(RB after)(S (NP-SBJ-2 (DT the)(NN drug))(VP (VBD was)(VP (VBN used)(NP (-NONE- *-2)))))))))(PRN (: --)(S (NP-SBJ-4 (NP (DT the)(NN cancer))(PP-LOC (IN in)(NP (DT the)(NNS daughters))))(VP (VBD was)(ADVP (RB typically))(RB not)(VP (VBN detected)(NP (-NONE- *-4))(PP-TMP (IN for)(NP (NNS years))))))(: --))(CC and)(S (NP-SBJ (EX there))(VP (VBZ is)(NP-PRD (NP (DT no)(NN way))(SBAR (WHADVP-5 (-NONE- 0))(S (NP-SBJ (-NONE- *PRO*))(VP (TO to)(VP (VB prove)(SBAR (WHNP-3 (WHNP (WDT which))(PP (IN of)(NP (JJ several)(NNS companies))))(S (NP-SBJ (-NONE- *T*-3))(VP (VBD manufactured)(NP (NP (DT the)(NNS doses))(VP (VBN consumed)(NP (-NONE- *))(PP (IN by)(NP-LGS (JJ certain)(NNS women))))))))(ADVP-MNR (-NONE- *T*-5)))))))))(. .)))","In many cases , the lawsuit was filed *-1 long after the drug was used *-2 -- the cancer in the daughters was typically not detected *-4 for years -- and there is no way 0 *PRO* to prove which of several companies *T*-3 manufactured the doses consumed * by certain women *T*-5 ."
nw/wsj/04/wsj_0429,5,"(TOP (S (NP-SBJ (DT The)(NML (NNP Lone)(NNP Star)(NNP Steel))(NN lawsuit))(ADVP (RB also))(VP (VBZ asks)(NP-2 (DT the)(NN court))(S (NP-SBJ (-NONE- *PRO*-2))(VP (TO to)(VP (VB rule)(SBAR (SBAR (IN that)(S (NP-SBJ (NNP Lone)(NNP Star)(NNP Technologies))(VP (VBZ is)(ADJP-PRD (RB jointly)(JJ responsible)(PP (IN for)(NP (NP (DT a)(NML (QP ($ $)(CD 4.5)(CD million))(-NONE- *U*))(NML (NNP Lone)(NNP Star)(NNP Steel))(NN pension)(NN payment))(SBAR (WHNP-1 (WDT that))(S (NP-SBJ-3 (-NONE- *T*-1))(VP (VP (VBD was)(ADJP-PRD (JJ due)))(, ,)(CC but)(VP (VBD was)(RB n't)(VP (VBD paid)(NP (-NONE- *-3))))(, ,)(PP-TMP (IN in)(NP (NNP September))))))))))))(CC and)(SBAR (IN that)(S (NP-SBJ (DT the)(NN parent)(NN company))(VP (MD ca)(RB n't)(VP (VB recover)(NP (DT the)(NN amount))(PP-CLR (IN from)(NP (PRP$ its)(NN subsidiary)))(SBAR-ADV (IN if)(S (NP-SBJ (DT the)(NN parent)(NN company))(VP (VBZ makes)(NP (DT the)(NN payment))))))))))))))(. .)))","The Lone Star Steel lawsuit also asks the court *PRO*-2 to rule that Lone Star Technologies is jointly responsible for a $ 4.5 million *U* Lone Star Steel pension payment that *T*-1 was due , but was n't paid *-3 , in September and that the parent company ca n't recover the amount from its subsidiary if the parent company makes the payment ."
nw/wsj/04/wsj_0475,17,(TOP (S (NP-SBJ (DT The)(NNS consultants))(VP (VBD maintained)(SBAR (-NONE- 0)(S (NP-SBJ-2 (NNP Eastern))(VP (VP (MD would)(RB n't)(VP (VB generate)(NP (NP (DT the)(NN cash))(SBAR (WHNP-1 (-NONE- 0))(S (NP-SBJ (PRP it))(VP (VBZ needs)(NP (-NONE- *T*-1))))))))(CC and)(VP (MD would)(VP (VB have)(S (NP-SBJ-3 (-NONE- *-2))(VP (TO to)(VP (VB issue)(NP (JJ new)(NN debt))(S-PRP (NP-SBJ (-NONE- *PRO*-3))(VP (TO to)(VP (VB meet)(NP (PRP$ its)(NNS targets))(PP-LOC (IN under)(NP (DT the)(NN plan)))))))))))))))(. .))),The consultants maintained 0 Eastern would n't generate the cash 0 it needs *T*-1 and would have *-2 to issue new debt *PRO*-3 to meet its targets under the plan .
nw/wsj/04/wsj_0475,20,(TOP (S (NP-SBJ (PRP He))(VP (VBD said)(SBAR (ADVP (RB only))(SBAR (IN that)(S (NP-SBJ (DT the)(NN committee))(VP (VBZ has)(ADVP (RB not)(RB yet))(VP (VBN taken)(NP (NP (DT any)(NN position))(PP (IN on)(NP (NP (NNP Eastern)(POS 's))(NN reorganization)(NN plan))))))))(CC and)(SBAR (IN that)(S (NP-SBJ (DT the)(CD two)(NNS sides))(VP (VBD were)(ADVP (RB still))(VP (VBG negotiating)))))))(. .))),He said only that the committee has not yet taken any position on Eastern 's reorganization plan and that the two sides were still negotiating .
nw/wsj/04/wsj_0477,17,"(TOP (S (SBAR-ADV (IN While)(S (NP-SBJ-2 (NNP Allianz)(NNS officials))(VP (VBD were)(RB n't)(ADJP-PRD (JJ willing)(S (NP-SBJ (-NONE- *PRO*-2))(VP (TO to)(VP (VB comment)(PP-MNR (IN in)(NP (DT any)(NN detail)))(PP-CLR (IN on)(NP (PRP$ their)(NNS plans))))))))))(, ,)(NP-SBJ (PRP they))(VP (VBD said)(SBAR (-NONE- 0)(S (NP-SBJ (NNP Allianz))(ADVP-TMP (RB currently))(VP (VBZ holds)(NP (NP (NP (QP (IN between)(CD 5)(NN %)(CC and)(CD 10)(NN %))(-NONE- *U*))(PP (IN of)(NP (NNP Navigation)(NNP Mixte))))(, ,)(NP (NP (DT an)(JJ apparent)(NN increase))(PP (IN from)(NP (NP (DT the)(NML (CD 5)(NN %))(NN stake))(SBAR (WHNP-1 (WDT that))(S (NP-SBJ (NML (NNP Navigation)(NNP Mixte))(NNS officials))(VP (VBD had)(ADVP-TMP (RBR earlier))(VP (VBN announced)(NP (-NONE- *T*-1))))))))))))))(. .)))","While Allianz officials were n't willing *PRO*-2 to comment in any detail on their plans , they said 0 Allianz currently holds between 5 % and 10 % *U* of Navigation Mixte , an apparent increase from the 5 % stake that Navigation Mixte officials had earlier announced *T*-1 ."
nw/wsj/04/wsj_0453,14,"(TOP (S (S (NP-SBJ (JJ Other)(NNS ads))(VP (VBP do)(RB n't)(VP (VB bother)(PP-CLR (IN with)(NP (DT the)(NN fundraising))))))(: ;)(S (NP-SBJ (NP (DT a)(ADJP (JJ touching)(, ,)(SBAR-ADV (IN if)(FRAG (ADJP (NN self)(HYPH -)(JJ congratulatory))))(, ,))(NML (NNP American)(NNP Telephone)(CC &)(NNP Telegraph))(NN ad))(SBAR (WHNP-1 (WDT that))(S (NP-SBJ (-NONE- *T*-1))(VP (VBD aired)(NP-TMP (NNP Sunday))))))(VP (VBD intermixed)(NP (NP (NN footage))(PP (IN of)(NP (NP (DT the)(NN devastation))(PP-LOC (IN in)(NP (NP (NNP San)(NNP Francisco))(CC and)(NP (NP (NNP Charleston))(, ,)(NP (NNP S.C.))(, ,)))))))(PP-CLR (IN with)(NP (NP (NNS interviews))(PP (IN of)(NP (NP (NNS people))(VP (VBG recounting)(SBAR (WHADVP-2 (WRB how))(S (NP-SBJ (NNP AT&T))(VP (VBD helped)(ADVP-MNR (-NONE- *T*-2))))))))))))(. .)))","Other ads do n't bother with the fundraising ; a touching , if self - congratulatory , American Telephone & Telegraph ad that *T*-1 aired Sunday intermixed footage of the devastation in San Francisco and Charleston , S.C. , with interviews of people recounting how AT&T helped *T*-2 ."
