filename,treeno,tree,sentence,match,spanString
nw/wsj/03/wsj_0349,42,"(TOP (S (S-TPC-1 (PP (IN Despite)(SBAR-NOM (WHNP-2 (WP what))(S (NP-SBJ (DT some)(NNS investors))(VP (VBP are)(VP (VBG suggesting)(NP (-NONE- *T*-2)))))))(, ,)(NP-SBJ (DT the)(NNP Big)(NNP Board))(VP (VBZ is)(RB n't)(ADVP (RB even))(VP (VBG considering)(NP (NP (DT a)(JJ total)(NN ban))(PP-LOC (IN on)(NP (NP (NN program)(NN trading))(CC or)(NP (NN stock)(NNS futures))))))))(, ,)(NP-SBJ (NN exchange)(NNS officials))(VP (VBD said)(SBAR (-NONE- 0)(S (-NONE- *T*-1))))(. .)))","Despite what some investors are suggesting *T*-2 , the Big Board is n't even considering a total ban on program trading or stock futures , exchange officials said 0 *T*-1 .",(VP (VBZ is) (RB n't) (ADVP (RB even)) (VP (VBG considering) (NP (NP (DT a) (JJ total) (NN ban)) (PP-LOC (IN on) (NP (NP (NN program) (NN trading)) (CC or) (NP (NN stock) (NNS futures))))))) ,is n't even considering a total ban on program trading or stock futures
nw/wsj/03/wsj_0314,41,(TOP (S (S-NOM-SBJ (NP-SBJ (-NONE- *PRO*))(VP (VBG Limiting)(NP (NN care))))(VP (MD wo)(RB n't)(VP (VB be)(ADJP-PRD (JJ easy)(CC or)(JJ popular))))(. .))),*PRO* Limiting care wo n't be easy or popular .,(VP (MD wo) (RB n't) (VP (VB be) (ADJP-PRD (JJ easy) (CC or) (JJ popular)))) ,wo n't be easy or popular
nw/wsj/04/wsj_0413,27,"(TOP (S (CC But)(NP-SBJ (PRP they))(VP (VBP do)(RB n't)(VP (VP (VB careen)(ADVP (RP around))(PP-LOC (IN in)(NP (DT an)(JJ old)(NN Cadillac))))(, ,)(VP (VB wear)(NP (JJ funny)(NNS suits)))(CC or)(VP (VB blast)(PRT (RP away))(PP-CLR (IN at)(NP (JJ slimy)(NNS spirits))))))(. .)))","But they do n't careen around in an old Cadillac , wear funny suits or blast away at slimy spirits .","(VP (VBP do) (RB n't) (VP (VP (VB careen) (ADVP (RP around)) (PP-LOC (IN in) (NP (DT an) (JJ old) (NN Cadillac)))) (, ,) (VP (VB wear) (NP (JJ funny) (NNS suits))) (CC or) (VP (VB blast) (PRT (RP away)) (PP-CLR (IN at) (NP (JJ slimy) (NNS spirits)))))) ","do n't careen around in an old Cadillac , wear funny suits or blast away at slimy spirits"
nw/wsj/04/wsj_0417,3,"(TOP (S (NP-SBJ (NP (DT The)(NN group))(VP (VBD led)(NP (-NONE- *))(PP (IN by)(NP-LGS (NML (NML (NNP Birmingham)(, ,)(NNP Mich.)(, ,))(NN publicist))(NNP William)(NNP D.)(NNP McMaster)))))(VP (VBD did)(RB n't)(VP (VP (VB name)(NP (NP (DT an)(NN investment)(NN banker))(VP (VBG backing)(NP (DT the)(NN deal)))))(CC or)(VP (VB say)(SBAR (WHNP-1 (WRB how)(JJ much))(S (NP-SBJ (PRP$ its)(NNS members))(VP (MD will)(VP (VB contribute)(NP (-NONE- *T*-1))(PP-CLR (IN to)(NP (DT the)(NN offer))))))))))(. .)))","The group led * by Birmingham , Mich. , publicist William D. McMaster did n't name an investment banker backing the deal or say how much its members will contribute *T*-1 to the offer .",(VP (VBD did) (RB n't) (VP (VP (VB name) (NP (NP (DT an) (NN investment) (NN banker)) (VP (VBG backing) (NP (DT the) (NN deal))))) (CC or) (VP (VB say) (SBAR (WHNP-1 (WRB how) (JJ much)) (S (NP-SBJ (PRP$ its) (NNS members)) (VP (MD will) (VP (VB contribute) (NP (-NONE- *T*-1)) (PP-CLR (IN to) (NP (DT the) (NN offer)))))))))) ,did n't name an investment banker backing the deal or say how much its members will contribute *T*-1 to the offer
nw/wsj/04/wsj_0450,21,"(TOP (S (NP-SBJ (NP (NML (NNP Chief)(NNP Inspector))(NNP Peter)(NNP Seacomb))(PP (IN of)(NP (NP (DT the)(NML (NNP Criminal)(NNP Investigation))(NNP Department))(PP-LOC (IN at)(NP (DT the)(NN airport))))))(VP (VBD said)(, ,)(`` ``)(S (NP-SBJ (NP (PRP It))(SBAR (-NONE- *EXP*-1)))(VP (VBZ is)(RB not)(ADJP-PRD (JJ uncommon))(SBAR-1 (IN for)(S (NP-SBJ-2 (NN property))(VP (TO to)(VP (VB be)(ADVP-TMP (RB temporarily))(VP (VBN mislaid)(CC or)(VBN misrouted)(NP (-NONE- *-2))))))))))(. .)('' '')))","Chief Inspector Peter Seacomb of the Criminal Investigation Department at the airport said , `` It *EXP*-1 is not uncommon for property to be temporarily mislaid or misrouted *-2 . ''",(VP (VBZ is) (RB not) (ADJP-PRD (JJ uncommon)) (SBAR-1 (IN for) (S (NP-SBJ-2 (NN property)) (VP (TO to) (VP (VB be) (ADVP-TMP (RB temporarily)) (VP (VBN mislaid) (CC or) (VBN misrouted) (NP (-NONE- *-2)))))))) ,is not uncommon for property to be temporarily mislaid or misrouted *-2
nw/wsj/04/wsj_0434,4,"(TOP (S (NP-SBJ-1 (RB Even)(JJ brief)(NNS conversations))(VP (VP (MD can)(VP (VB show)(NP (NN caring)(CC and)(NN trust))))(, ,)(CC and)(VP (MD need)(S (NP-SBJ (-NONE- *PRO*-1))(RB not)(VP (VP (VB restrict)(NP (NP (DT the)(NN efficiency))(PP (IN of)(NP (DT the)(NN communication)))))(CC or)(VP (VB restrain)(NP (NP (DT the)(NN doctor)(POS 's))(NNS earnings)))))))(. .)))","Even brief conversations can show caring and trust , and need *PRO*-1 not restrict the efficiency of the communication or restrain the doctor 's earnings .",(S (NP-SBJ (-NONE- *PRO*-1)) (RB not) (VP (VP (VB restrict) (NP (NP (DT the) (NN efficiency)) (PP (IN of) (NP (DT the) (NN communication))))) (CC or) (VP (VB restrain) (NP (NP (DT the) (NN doctor) (POS 's)) (NNS earnings))))) ,*PRO*-1 not restrict the efficiency of the communication or restrain the doctor 's earnings
nw/wsj/04/wsj_0445,65,"(TOP (S (S (NP-SBJ (NNP NEC))(VP (MD wo)(RB n't)(VP (VB release)(NP (PRP$ its)(NN code)))))(, ,)(CC and)(S (NP-SBJ (NP (DT every)(CD one))(PP (IN of)(NP (DT the)(QP (NN dozen)(CC or)(RB so))(NNS makers))))(VP (VBZ has)(NP (PRP$ its)(JJ own)(JJ proprietary)(NN operating)(NN system))(: --)(S-ADV (NP-SBJ (DT all))(ADJP-PRD (JJ incompatible)(PP (IN with)(NP (DT each)(JJ other)))))))(. .)))","NEC wo n't release its code , and every one of the dozen or so makers has its own proprietary operating system -- all incompatible with each other .",NA,NA
nw/wsj/04/wsj_0465,47,(TOP (S (CC But)(NP-SBJ (PRP he))(VP (VBD did)(RB n't)(VP (VB know)(SBAR (WHNP-1 (WDT which)(NN gene)(CC or)(NNS genes))(S (NP-SBJ (-NONE- *T*-1))(VP (VBD had)(VP (VBN disappeared)))))))(. .))),But he did n't know which gene or genes *T*-1 had disappeared .,(VP (VBD did) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WDT which) (NN gene) (CC or) (NNS genes)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBD had) (VP (VBN disappeared))))))) ,did n't know which gene or genes *T*-1 had disappeared
nw/wsj/05/wsj_0515,12,"(TOP (SINV (`` ``)(S-TPC-1 (NP-SBJ-2 (DT This)(NN seed))(VP (VBZ 's)(RB not)(VP (VBN grown)(NP (-NONE- *-2))(ADVP-LOC (ADVP (RB anywhere)(RB else)(PP (IN in)(NP (NNP India))))(, ,)(CC or)(ADVP (RB anywhere)(RB else)(PP (IN in)(NP (DT the)(NN world))))))))(, ,)('' '')(VP (VBZ says)(S (-NONE- *T*-1)))(NP-SBJ (NP (NNP T.V.)(NNP Krishnamurthy))(, ,)(NP (NP (DT a)(NN vice)(NN president))(PP (IN of)(NP (NP (NNP Procter)(CC &)(NNP Gamble)(NNP India)(NNP Ltd.))(, ,)(NP (DT a)(JJ major)(NN psyllium)(NN buyer)(CC and)(NN promoter))))))(. .)))","`` This seed 's not grown *-2 anywhere else in India , or anywhere else in the world , '' says *T*-1 T.V. Krishnamurthy , a vice president of Procter & Gamble India Ltd. , a major psyllium buyer and promoter .","(VP (VBZ 's) (RB not) (VP (VBN grown) (NP (-NONE- *-2)) (ADVP-LOC (ADVP (RB anywhere) (RB else) (PP (IN in) (NP (NNP India)))) (, ,) (CC or) (ADVP (RB anywhere) (RB else) (PP (IN in) (NP (DT the) (NN world))))))) ","'s not grown *-2 anywhere else in India , or anywhere else in the world"
nw/wsj/05/wsj_0515,64,"(TOP (SINV (`` ``)(S-TPC-3 (NP-SBJ (PRP It))(VP (VBZ 's)(RB not)(NP-PRD (NP (DT a)(NN crop))(SBAR (WHNP-1 (WDT that))(S (NP-SBJ-2 (-NONE- *T*-1))(VP (MD ca)(RB n't)(VP (VB be)(VP (VBN doubled)(CC or)(VBN tripled)(NP (-NONE- *-2))))))))))(, ,)('' '')(VP (VBZ says)(S (-NONE- *T*-3)))(NP-SBJ (NNP Mr.)(NNP Krishnamurthy))(. .)))","`` It 's not a crop that *T*-1 ca n't be doubled or tripled *-2 , '' says *T*-3 Mr. Krishnamurthy .",(VP (VBZ 's) (RB not) (NP-PRD (NP (DT a) (NN crop)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ-2 (-NONE- *T*-1)) (VP (MD ca) (RB n't) (VP (VB be) (VP (VBN doubled) (CC or) (VBN tripled) (NP (-NONE- *-2))))))))) ,'s not a crop that *T*-1 ca n't be doubled or tripled *-2
nw/wsj/05/wsj_0515,64,"(TOP (SINV (`` ``)(S-TPC-3 (NP-SBJ (PRP It))(VP (VBZ 's)(RB not)(NP-PRD (NP (DT a)(NN crop))(SBAR (WHNP-1 (WDT that))(S (NP-SBJ-2 (-NONE- *T*-1))(VP (MD ca)(RB n't)(VP (VB be)(VP (VBN doubled)(CC or)(VBN tripled)(NP (-NONE- *-2))))))))))(, ,)('' '')(VP (VBZ says)(S (-NONE- *T*-3)))(NP-SBJ (NNP Mr.)(NNP Krishnamurthy))(. .)))","`` It 's not a crop that *T*-1 ca n't be doubled or tripled *-2 , '' says *T*-3 Mr. Krishnamurthy .",(VP (MD ca) (RB n't) (VP (VB be) (VP (VBN doubled) (CC or) (VBN tripled) (NP (-NONE- *-2))))) ,ca n't be doubled or tripled *-2
nw/wsj/05/wsj_0531,2,(TOP (S (NP-SBJ (NP (DT The)(NN maker))(PP (IN of)(NP (ADJP (JJ chemical)(CC and)(JJ industrial))(NNS materials))))(VP (VBD did)(RB n't)(VP (VB say)(SBAR (SBAR-NOM (WHNP-3 (WRB how)(JJ much))(S (NP-SBJ (PRP it))(VP (MD would)(VP (VB pay)(NP (-NONE- *T*-3))))))(CC or)(SBAR (WHADVP-2 (WRB when))(S (NP-SBJ (PRP it))(VP (MD would)(VP (VB make)(NP (DT the)(NNS transactions))(ADVP-TMP (-NONE- *T*-2)))))))))(. .))),The maker of chemical and industrial materials did n't say how much it would pay *T*-3 or when it would make the transactions *T*-2 .,(VP (VBD did) (RB n't) (VP (VB say) (SBAR (SBAR-NOM (WHNP-3 (WRB how) (JJ much)) (S (NP-SBJ (PRP it)) (VP (MD would) (VP (VB pay) (NP (-NONE- *T*-3)))))) (CC or) (SBAR (WHADVP-2 (WRB when)) (S (NP-SBJ (PRP it)) (VP (MD would) (VP (VB make) (NP (DT the) (NNS transactions)) (ADVP-TMP (-NONE- *T*-2))))))))) ,did n't say how much it would pay *T*-3 or when it would make the transactions *T*-2
nw/wsj/05/wsj_0576,4,(TOP (FRAG (ADJP (JJ Strange))(SBAR (IN that)(S (NP-SBJ (PRP we))(VP (VBP do)(RB n't)(VP (VB hear)(NP (NP (JJ similar)(NNS criticisms))(PP (IN of)(NP (NP (DT the)(NML (NNP East)(NNP Coast))(NNS activists))(SBAR (WHNP-1 (WP who))(S (NP-SBJ-2 (-NONE- *T*-1))(VP (VBP seek)(S (NP-SBJ (-NONE- *PRO*-2))(VP (TO to)(VP (VP (VB clean)(PRT (RP up))(NP (NNP Boston)(NNP Harbor)))(CC or)(VP (VB rid)(NP (PRP$ their)(NNS beaches))(PP-CLR (IN of)(NP (JJ medical)(NN waste)))))))))))))))))(. .))),Strange that we do n't hear similar criticisms of the East Coast activists who *T*-1 seek *PRO*-2 to clean up Boston Harbor or rid their beaches of medical waste .,(VP (VBP do) (RB n't) (VP (VB hear) (NP (NP (JJ similar) (NNS criticisms)) (PP (IN of) (NP (NP (DT the) (NML (NNP East) (NNP Coast)) (NNS activists)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ-2 (-NONE- *T*-1)) (VP (VBP seek) (S (NP-SBJ (-NONE- *PRO*-2)) (VP (TO to) (VP (VP (VB clean) (PRT (RP up)) (NP (NNP Boston) (NNP Harbor))) (CC or) (VP (VB rid) (NP (PRP$ their) (NNS beaches)) (PP-CLR (IN of) (NP (JJ medical) (NN waste))))))))))))))) ,do n't hear similar criticisms of the East Coast activists who *T*-1 seek *PRO*-2 to clean up Boston Harbor or rid their beaches of medical waste
nw/wsj/05/wsj_0569,13,"(TOP (S (S (SBAR-ADV (IN While)(S (NP-SBJ (JJ such)(NNS changes))(VP (MD might)(VP (VB sound)(ADJP-PRD (JJ minor))))))(, ,)(NP-SBJ (PRP they))(VP (VBP are)(RB n't)(ADJP-PRD (-NONE- *?*))))(: :)(S (NP-SBJ (NNP Merrill)(NNP Lynch))(VP (VBZ manages)(CC or)(VBZ oversees)(NP (NP (QP (DT some)($ $)(CD 300)(CD billion))(-NONE- *U*))(PP (IN in)(NP (NP (JJ retail)(NNS accounts))(SBAR (WHNP-2 (WDT that))(S (NP-SBJ (-NONE- *T*-2))(VP (VBP include)(NP (NP (NN everything))(PP (PP (IN from)(NP (JJ mutual)(NNS funds)))(PP (IN to)(NP (JJ individual)(NNS annuities)))))))))))))(. .)))","While such changes might sound minor , they are n't *?* : Merrill Lynch manages or oversees some $ 300 billion *U* in retail accounts that *T*-2 include everything from mutual funds to individual annuities .",NA,NA
nw/wsj/05/wsj_0569,41,(TOP (S (NP-SBJ (NP (CD One))(PP (IN of)(NP (NP (NNP Mr.)(NNP Straszheim)(POS 's))(VBG recurring)(NNS themes))))(VP (VBZ is)(SBAR-PRD (IN that)(S (NP-SBJ (NP (DT the)(NN state))(PP (IN of)(NP (DT the)(NN economy))))(VP (VBZ is)(RB n't)(NP-PRD (DT a)(JJ simple)(NN black)(CC or)(NN white))))))(. .))),One of Mr. Straszheim 's recurring themes is that the state of the economy is n't a simple black or white .,(VP (VBZ is) (RB n't) (NP-PRD (DT a) (JJ simple) (NN black) (CC or) (NN white))) ,is n't a simple black or white
nw/wsj/05/wsj_0554,12,"(TOP (S (`` ``)(S-TPC-1 (NP-SBJ-2 (NNS Clients))(VP (VBP want)(S (NP-SBJ (-NONE- *PRO*-2))(VP (TO to)(VP (VB see)(NP (NP (JJR more))(PP (IN of)(NP (NP (PRP$ our)(JJ senior)(NNS people))(VP (VBN involved)(NP (-NONE- *))(PP-CLR (IN in)(NP (DT the)(NN business)))))))(: --)(UCP-TMP (RB not)(ADVP (ADVP (IN once))(NP-ADV (DT a)(NN month)))(, ,)(CC but)(NP (NP (QP (CD two)(CC or)(CD three))(NNS times))(NP-ADV (DT a)(NN week)))))))))(, ,)('' '')(NP-SBJ (PRP he))(VP (VBD said)(S (-NONE- *T*-1)))(. .)))","`` Clients want *PRO*-2 to see more of our senior people involved * in the business -- not once a month , but two or three times a week , '' he said *T*-1 .","(UCP-TMP (RB not) (ADVP (ADVP (IN once)) (NP-ADV (DT a) (NN month))) (, ,) (CC but) (NP (NP (QP (CD two) (CC or) (CD three)) (NNS times)) (NP-ADV (DT a) (NN week)))) ","not once a month , but two or three times a week"
nw/wsj/05/wsj_0591,27,"(TOP (S (S (NP-SBJ (DT The)(NNP Big)(NNP Board))(VP (MD ca)(RB n't)(VP (VB ban)(NP (NML (NN stock)(HYPH -)(NN index))(NNS futures))(, ,)(PP (IN of)(NP (NN course))))))(, ,)(CC but)(S (NP-SBJ (PRP it))(VP (MD could)(VP (VP (VB ban)(NP (NP (NN use))(PP (IN of)(NP (PRP$ its)(NML (JJ high)(HYPH -)(NN speed))(NML (JJ electronic)(NN trading))(NN system)))(PP (IN for)(NP (NN program)(NN trading)))))(CC or)(ADVP (IN at)(JJS least))(VP (VB encourage)(NP-1 (NNS securities)(NNS firms))(S (NP-SBJ (-NONE- *PRO*-1))(VP (TO to)(VP (VB back)(ADVP-CLR (RB off)))))))))(. .)))","The Big Board ca n't ban stock - index futures , of course , but it could ban use of its high - speed electronic trading system for program trading or at least encourage securities firms *PRO*-1 to back off .",NA,NA
nw/wsj/05/wsj_0595,5,"(TOP (S (ADVP (RB Not)(RB unexpectedly))(, ,)(NP-SBJ-1 (NNS wives))(, ,)(SBAR-ADV (IN whether)(S (NP-SBJ (-NONE- *PRO*-1))(ADJP-PRD (VBG working)(CC or)(JJ non-working))))(, ,)(VP (VBD did)(PP (IN by)(ADVP (RB far)))(NP (NP (DT the)(JJS most))(: --)(NP (NP (NP (QP (RB about)(CD 80))(NN %))(PP (IN of)(NP (DT the)(NN shopping)(, ,)(NN laundry)(CC and)(NN cooking))))(, ,)(CC and)(NP (NP (QP (RB about)(CD two)(HYPH -))(NNS thirds))(PP (IN of)(NP (NP (NN housecleaning))(, ,)(S-NOM (NP-SBJ (-NONE- *PRO*))(VP (VBG washing)(NP (NNS dishes))))(, ,)(NP (NN child)(NN care))(CC and)(NP (NN family)(NN paper)(NN work))))))))(. .)))","Not unexpectedly , wives , whether *PRO*-1 working or non-working , did by far the most -- about 80 % of the shopping , laundry and cooking , and about two - thirds of housecleaning , *PRO* washing dishes , child care and family paper work .",NA,NA
